"全域・集中の別030002","時間軸(年次)","年齢５歳階級Ａ030002","全国都道府県030001","男女Ａ030001","VALUE"
"全域","1980年","３５－３９歳","千葉県","男女総数","438822"
"全域","1980年","３５－３９歳","東京都","男女総数","954985"
"全域","1980年","３５－３９歳","神奈川県","男女総数","632999"
"全域","1980年","３５－３９歳","新潟県","男女総数","166816"
"全域","1980年","３５－３９歳","富山県","男女総数","83752"
"全域","1980年","３５－３９歳","石川県","男女総数","83964"
"全域","1980年","３５－３９歳","福井県","男女総数","55551"
"全域","1980年","３５－３９歳","山梨県","男女総数","56273"
"全域","1980年","３５－３９歳","長野県","男女総数","150494"
"全域","1980年","３５－３９歳","岐阜県","男女総数","149564"
"全域","1980年","３５－３９歳","静岡県","男女総数","276332"
"全域","1980年","３５－３９歳","愛知県","男女総数","535224"
"全域","1980年","３５－３９歳","三重県","男女総数","127986"
"全域","1980年","３５－３９歳","滋賀県","男女総数","82742"
"全域","1980年","３５－３９歳","京都府","男女総数","199812"
"全域","1980年","３５－３９歳","大阪府","男女総数","758966"
"全域","1980年","３５－３９歳","兵庫県","男女総数","418962"
"全域","1980年","３５－３９歳","奈良県","男女総数","101500"
"全域","1980年","３５－３９歳","和歌山県","男女総数","80443"
"全域","1980年","３５－３９歳","鳥取県","男女総数","39871"
"全域","1980年","３５－３９歳","島根県","男女総数","49154"
"全域","1980年","３５－３９歳","岡山県","男女総数","140121"
"全域","1980年","３５－３９歳","広島県","男女総数","217651"
"全域","1980年","３５－３９歳","山口県","男女総数","115480"
"全域","1980年","３５－３９歳","徳島県","男女総数","55024"
"全域","1980年","３５－３９歳","香川県","男女総数","71392"
"全域","1980年","３５－３９歳","愛媛県","男女総数","104872"
"全域","1980年","３５－３９歳","高知県","男女総数","57752"
"全域","1980年","３５－３９歳","福岡県","男女総数","336874"
"全域","1980年","３５－３９歳","佐賀県","男女総数","53813"
"全域","1980年","３５－３９歳","長崎県","男女総数","99812"
"全域","1980年","３５－３９歳","熊本県","男女総数","113591"
"全域","1980年","３５－３９歳","大分県","男女総数","83881"
"全域","1980年","３５－３９歳","宮崎県","男女総数","75145"
"全域","1980年","３５－３９歳","鹿児島県","男女総数","104506"
"全域","1980年","３５－３９歳","沖縄県","男女総数","65827"
"全域","1980年","４０－４４歳","全国","男女総数","8337500"
"全域","1980年","４０－４４歳","全国市部","男女総数","6490176"
"全域","1980年","４０－４４歳","全国郡部","男女総数","1847324"
"全域","1980年","４０－４４歳","北海道","男女総数","401796"
"全域","1980年","４０－４４歳","青森県","男女総数","107093"
"全域","1980年","４０－４４歳","岩手県","男女総数","101462"
"全域","1980年","４０－４４歳","宮城県","男女総数","143022"
"全域","1980年","４０－４４歳","秋田県","男女総数","90348"
"全域","1980年","４０－４４歳","山形県","男女総数","84580"
"全域","1980年","４０－４４歳","福島県","男女総数","133124"
"全域","1980年","４０－４４歳","茨城県","男女総数","176376"
"全域","1980年","４０－４４歳","栃木県","男女総数","118449"
"全域","1980年","４０－４４歳","群馬県","男女総数","125088"
"全域","1980年","４０－４４歳","埼玉県","男女総数","434280"
